entry_datetime,exit_datetime,signal,option_type,strike,entry_price,exit_price,lot_size,pnl,pnl_pct,exit_reason
2023-01-02 12:15:00+05:30,2023-01-02 12:32:00+05:30,Buy,PE,18200.0,96.35,102.4,207,-1252.3500000000024,-6.279190451478995,stop_loss
2023-01-02 12:33:00+05:30,2023-01-02 13:45:00+05:30,Buy,PE,18150.0,79.2,78.75,250,112.50000000000071,0.5681818181818218,signal_change
2023-01-02 13:45:00+05:30,2023-01-02 14:44:00+05:30,Sell,CE,18200.0,89.55,78.6,222,2430.9000000000005,12.227805695142383,take_profit
2023-01-03 09:20:00+05:30,2023-01-03 09:45:00+05:30,Sell,CE,18150.0,98.25,98.25,204,0.0,0.0,signal_change
2023-01-03 09:45:00+05:30,2023-01-03 10:52:00+05:30,Buy,PE,18200.0,83.05,66.3,242,4053.5,20.1685731487056,take_profit
2023-01-03 10:53:00+05:30,2023-01-03 11:10:00+05:30,Buy,PE,18200.0,65.85,63.65,311,684.1999999999987,3.3409263477600546,take_profit
2023-01-03 11:14:00+05:30,2023-01-03 11:25:00+05:30,Buy,PE,18250.0,87.5,87.5,235,0.0,0.0,signal_change
2023-01-03 11:25:00+05:30,2023-01-03 11:28:00+05:30,Sell,CE,18250.0,75.0,75.0,274,0.0,0.0,signal_change
2023-01-03 11:28:00+05:30,2023-01-03 11:44:00+05:30,Buy,PE,18200.0,62.35,63.45,330,-363.00000000000045,-1.7642341619887751,stop_loss
2023-01-03 12:29:00+05:30,2023-01-03 15:15:00+05:30,Buy,PE,18150.0,67.0,67.0,306,0.0,0.0,force_exit
2023-01-04 10:06:00+05:30,2023-01-04 10:09:00+05:30,Buy,PE,18100.0,52.9,51.15,388,679.0,3.30812854442344,take_profit
2023-01-04 10:11:00+05:30,2023-01-04 10:18:00+05:30,Buy,PE,18150.0,74.1,75.9,278,-500.40000000000316,-2.4291497975708656,stop_loss
