Entry Time,Exit Time,Ticker,Signal,Option Type,Strike,Entry Price,Exit Price,PnL,Exit Reason,Lot Size
2023-01-05 09:50:00+05:30,2023-01-05 09:51:00+05:30,NIFTY05JAN2318050CE,Sell,CE,18050,46.0,48.85,-2137.500000000001,Stop-Loss,750
2023-01-05 10:20:00+05:30,2023-01-05 10:21:00+05:30,NIFTY05JAN2318050PE,Buy,PE,18050,40.6,38.85,1312.5,Take-Profit,750
2023-01-05 10:40:00+05:30,2023-01-05 10:45:00+05:30,NIFTY05JAN2318050CE,Sell,CE,18050,49.0,44.4,3450.000000000001,Take-Profit,750
2023-01-05 11:20:00+05:30,2023-01-05 11:21:00+05:30,NIFTY05JAN2318050PE,Buy,PE,18050,41.95,44.9,-2212.499999999997,Stop-Loss,750
2023-01-05 11:25:00+05:30,2023-01-05 11:28:00+05:30,NIFTY05JAN2318050CE,Sell,CE,18050,27.55,26.3,937.5,Take-Profit,750
2023-01-05 12:15:00+05:30,2023-01-05 12:18:00+05:30,NIFTY05JAN2318000PE,Buy,PE,18000,45.9,47.4,-1125.0,Stop-Loss,750
2023-01-05 12:30:00+05:30,2023-01-05 12:31:00+05:30,NIFTY05JAN2317950CE,Sell,CE,17950,45.95,47.6,-1237.4999999999989,Stop-Loss,750
2023-01-05 12:55:00+05:30,2023-01-05 12:56:00+05:30,NIFTY05JAN2317950PE,Buy,PE,17950,35.45,33.6,1387.5000000000011,Take-Profit,750
2023-01-05 13:25:00+05:30,2023-01-05 13:26:00+05:30,NIFTY05JAN2317950CE,Sell,CE,17950,18.4,17.0,1049.9999999999989,Take-Profit,750
2023-01-05 13:45:00+05:30,2023-01-05 13:46:00+05:30,NIFTY05JAN2317900PE,Buy,PE,17900,26.9,24.05,2137.499999999998,Take-Profit,750
2023-01-06 09:25:00+05:30,2023-01-06 09:26:00+05:30,NIFTY12JAN2318000CE,Sell,CE,18000,137.85,141.4,-2662.5000000000086,Stop-Loss,750
2023-01-06 09:35:00+05:30,2023-01-06 09:36:00+05:30,NIFTY12JAN2318000PE,Buy,PE,18000,80.4,87.55,-5362.499999999994,Stop-Loss,750
2023-01-06 09:55:00+05:30,2023-01-06 09:58:00+05:30,NIFTY12JAN2318000CE,Sell,CE,18000,118.4,113.65,3562.5,Take-Profit,750
2023-01-06 11:40:00+05:30,2023-01-06 11:44:00+05:30,NIFTY12JAN2317950PE,Buy,PE,17950,110.85,105.9,3712.4999999999914,Take-Profit,750
2023-01-06 12:15:00+05:30,2023-01-06 12:16:00+05:30,NIFTY12JAN2317950CE,Sell,CE,17950,107.3,110.5,-2400.0000000000023,Stop-Loss,750
2023-01-06 13:35:00+05:30,2023-01-06 13:45:00+05:30,NIFTY12JAN2317800PE,Buy,PE,17800,97.4,86.05,8512.500000000007,Take-Profit,750
2023-01-06 14:15:00+05:30,2023-01-06 14:17:00+05:30,NIFTY12JAN2317800CE,Sell,CE,17800,139.8,133.8,4500.0,Take-Profit,750
2023-01-06 14:25:00+05:30,2023-01-06 14:26:00+05:30,NIFTY12JAN2317800PE,Buy,PE,17800,78.1,82.25,-3112.500000000004,Stop-Loss,750
2023-01-09 09:55:00+05:30,2023-01-09 09:59:00+05:30,NIFTY12JAN2318000CE,Sell,CE,18000,132.75,135.0,-1687.5,Stop-Loss,750
2023-01-09 11:20:00+05:30,2023-01-09 11:29:00+05:30,NIFTY12JAN2318100PE,Buy,PE,18100,72.85,70.25,1949.9999999999957,Take-Profit,750
2023-01-09 11:55:00+05:30,2023-01-09 11:57:00+05:30,NIFTY12JAN2318150CE,Sell,CE,18150,94.5,91.5,2250.0,Take-Profit,750
2023-01-09 14:05:00+05:30,2023-01-09 14:07:00+05:30,NIFTY12JAN2318050PE,Buy,PE,18050,86.7,83.95,2062.5,Take-Profit,750
2023-01-10 09:20:00+05:30,2023-01-10 09:21:00+05:30,NIFTY12JAN2318050CE,Sell,CE,18050,92.0,87.6,3300.000000000004,Take-Profit,750
2023-01-10 10:20:00+05:30,2023-01-10 10:21:00+05:30,NIFTY12JAN2318000PE,Buy,PE,18000,81.25,78.45,2099.9999999999977,Take-Profit,750
2023-01-10 10:35:00+05:30,2023-01-10 10:36:00+05:30,NIFTY12JAN2318000CE,Sell,CE,18000,76.7,81.55,-3637.499999999996,Stop-Loss,750
2023-01-10 11:05:00+05:30,2023-01-10 11:06:00+05:30,NIFTY12JAN2317950PE,Buy,PE,17950,76.15,73.15,2250.0,Take-Profit,750
2023-01-10 11:20:00+05:30,2023-01-10 11:24:00+05:30,NIFTY12JAN2317950CE,Sell,CE,17950,97.05,92.95,3074.999999999996,Take-Profit,750
2023-01-10 11:55:00+05:30,2023-01-10 11:56:00+05:30,NIFTY12JAN2317950PE,Buy,PE,17950,79.25,84.6,-4012.499999999996,Stop-Loss,750
2023-01-10 12:45:00+05:30,2023-01-10 12:46:00+05:30,NIFTY12JAN2317950CE,Sell,CE,17950,75.1,71.9,2399.9999999999914,Take-Profit,750
2023-01-10 13:15:00+05:30,2023-01-10 13:16:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,82.55,77.4,3862.4999999999936,Take-Profit,750
2023-01-10 13:45:00+05:30,2023-01-10 13:46:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,79.55,80.8,-937.5,Stop-Loss,750
2023-01-10 13:55:00+05:30,2023-01-10 13:58:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,74.0,66.6,5550.000000000005,Take-Profit,750
2023-01-10 14:30:00+05:30,2023-01-10 14:32:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,80.1,81.35,-937.5,Stop-Loss,750
2023-01-10 14:55:00+05:30,2023-01-10 14:57:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,72.4,74.25,-1387.4999999999957,Stop-Loss,750
2023-01-11 09:20:00+05:30,2023-01-11 09:22:00+05:30,NIFTY12JAN2317900CE,Sell,CE,17900,82.1,76.0,4574.999999999995,Take-Profit,750
2023-01-11 09:45:00+05:30,2023-01-11 09:46:00+05:30,NIFTY12JAN2317900PE,Buy,PE,17900,92.8,82.35,7837.500000000002,Take-Profit,750
