entry_datetime,signal,option_type,strike_price,entry_price,spot_price,expiry_date,status,exit_datetime,exit_price,pnl,pnl_pct,exit_reason
2023-01-02 12:15:00+05:30,Buy,PE,15050.0,0.45,18185.35,2023-01-05,CLOSED,2023-01-02 12:16:00+05:30,0.5,-3.749999999999999,-8.33333333333333,STOP_LOSS
2023-01-02 12:16:00+05:30,Buy,PE,15100.0,0.5,18184.5,2023-01-05,CLOSED,2023-01-02 12:20:00+05:30,0.9,-30.0,-60.0,STOP_LOSS
2023-01-02 12:17:00+05:30,Buy,PE,15100.0,0.5,18186.05,2023-01-05,CLOSED,2023-01-02 12:20:00+05:30,0.9,-30.0,-60.0,STOP_LOSS
2023-01-02 12:32:00+05:30,Buy,PE,15100.0,0.5,18165.65,2023-01-05,CLOSED,2023-01-02 12:35:00+05:30,0.4,7.499999999999998,14.999999999999996,TAKE_PROFIT
2023-01-02 12:33:00+05:30,Buy,PE,15150.0,0.5,18172.4,2023-01-05,CLOSED,2023-01-02 12:35:00+05:30,0.4,7.499999999999998,14.999999999999996,TAKE_PROFIT
2023-01-02 12:34:00+05:30,Buy,PE,15100.0,0.5,18167.15,2023-01-05,CLOSED,2023-01-02 12:35:00+05:30,0.4,7.499999999999998,14.999999999999996,TAKE_PROFIT
2023-01-02 13:45:00+05:30,Sell,CE,17500.0,685.0,18180.0,2023-01-05,CLOSED,2023-01-02 13:46:00+05:30,493.1,14392.499999999998,21.010948905109487,TAKE_PROFIT
2023-01-02 14:44:00+05:30,Sell,CE,17600.0,568.55,18155.9,2023-01-05,CLOSED,2023-01-02 14:45:00+05:30,519.15,3704.999999999998,6.516577257936854,TAKE_PROFIT
2023-01-03 09:20:00+05:30,Sell,CE,17450.0,734.4,18173.25,2023-01-05,CLOSED,2023-01-03 09:21:00+05:30,468.6,19934.999999999996,27.14460784313725,TAKE_PROFIT
2023-01-03 09:45:00+05:30,Buy,PE,15050.0,0.35,18191.25,2023-01-05,CLOSED,2023-01-03 09:46:00+05:30,0.45,-7.500000000000003,-21.428571428571438,STOP_LOSS
2023-01-03 09:47:00+05:30,Buy,PE,15500.0,0.4,18192.3,2023-01-05,CLOSED,2023-01-03 09:49:00+05:30,0.35,3.7500000000000036,9.375000000000009,TAKE_PROFIT
